2020-04-27 01:04:210 INFO  BrowserSelector :18 - Launching Chrome Browser
2020-04-27 01:04:363 INFO  BrowserSelector :18 - Launching Chrome Browser
2020-04-27 01:04:630 INFO  BrowserSelector :18 - Launching Chrome Browser
2020-04-27 01:04:257 INFO  HomePage :46 - Clicking on Sign Up link : [[ChromeDriver: chrome on WINDOWS (45e1f642521124c3d4d453ecc6617e78)] -> xpath: //a[@id='header-sign-up-btn']]
2020-04-27 01:04:738 INFO  HomePage :30 - Entering Full Name : Roger Moore On Full Name Field [[ChromeDriver: chrome on WINDOWS (45e1f642521124c3d4d453ecc6617e78)] -> id: user_name]
2020-04-27 01:04:896 INFO  HomePage :39 - Entering Email : Roger123@gmail.com On Email Field [[ChromeDriver: chrome on WINDOWS (45e1f642521124c3d4d453ecc6617e78)] -> id: user_email]
2020-04-27 01:04:273 INFO  HomePage :48 - Entering Password : Roger123 On Password Field [[ChromeDriver: chrome on WINDOWS (45e1f642521124c3d4d453ecc6617e78)] -> id: user_password]
2020-04-27 01:04:580 INFO  HomePage :57 - Entering Confirm Password : Roger123 On Confirm Password Field [[ChromeDriver: chrome on WINDOWS (45e1f642521124c3d4d453ecc6617e78)] -> id: user_password_confirmation]
2020-04-27 01:04:817 INFO  HomePage :66 - Clicking on Agree To Terms : [[ChromeDriver: chrome on WINDOWS (45e1f642521124c3d4d453ecc6617e78)] -> id: user_agreed_to_terms]
2020-04-27 01:04:73 INFO  BrowserSelector :18 - Launching Chrome Browser
2020-04-27 01:04:220 INFO  HomePage :46 - Clicking on Sign Up link : [[ChromeDriver: chrome on WINDOWS (9903ac1645870eaa2278c08cb753c36d)] -> xpath: //a[@id='header-sign-up-btn']]
2020-04-27 01:04:356 INFO  HomePage :30 - Entering Full Name : Roger Moore On Full Name Field [[ChromeDriver: chrome on WINDOWS (9903ac1645870eaa2278c08cb753c36d)] -> id: user_name]
2020-04-27 01:04:524 INFO  HomePage :39 - Entering Email : Roger123@gmail.com On Email Field [[ChromeDriver: chrome on WINDOWS (9903ac1645870eaa2278c08cb753c36d)] -> id: user_email]
2020-04-27 01:04:965 INFO  HomePage :48 - Entering Password : Roger123 On Password Field [[ChromeDriver: chrome on WINDOWS (9903ac1645870eaa2278c08cb753c36d)] -> id: user_password]
2020-04-27 01:04:270 INFO  HomePage :57 - Entering Confirm Password : Roger123 On Confirm Password Field [[ChromeDriver: chrome on WINDOWS (9903ac1645870eaa2278c08cb753c36d)] -> id: user_password_confirmation]
2020-04-27 01:04:590 INFO  HomePage :66 - Clicking on Agree To Terms : [[ChromeDriver: chrome on WINDOWS (9903ac1645870eaa2278c08cb753c36d)] -> id: user_agreed_to_terms]
2020-04-27 01:04:723 INFO  BrowserSelector :18 - Launching Chrome Browser
2020-04-27 01:04:878 INFO  HomePage :46 - Clicking on Sign Up link : [[ChromeDriver: chrome on WINDOWS (606b14cc6cc7051fbeb014076edc3091)] -> xpath: //a[@id='header-sign-up-btn']]
2020-04-27 01:04:304 INFO  HomePage :30 - Entering Full Name : Roger Moore On Full Name Field [[ChromeDriver: chrome on WINDOWS (606b14cc6cc7051fbeb014076edc3091)] -> id: user_name]
2020-04-27 01:04:694 INFO  HomePage :39 - Entering Email : Roger123@gmail.com On Email Field [[ChromeDriver: chrome on WINDOWS (606b14cc6cc7051fbeb014076edc3091)] -> id: user_email]
2020-04-27 01:04:966 INFO  HomePage :48 - Entering Password : Roger123 On Password Field [[ChromeDriver: chrome on WINDOWS (606b14cc6cc7051fbeb014076edc3091)] -> id: user_password]
2020-04-27 01:04:326 INFO  HomePage :57 - Entering Confirm Password : Roger123 On Confirm Password Field [[ChromeDriver: chrome on WINDOWS (606b14cc6cc7051fbeb014076edc3091)] -> id: user_password_confirmation]
2020-04-27 01:04:521 INFO  HomePage :66 - Clicking on Agree To Terms : [[ChromeDriver: chrome on WINDOWS (606b14cc6cc7051fbeb014076edc3091)] -> id: user_agreed_to_terms]
2020-04-27 01:04:197 INFO  BrowserSelector :18 - Launching Chrome Browser
2020-04-27 01:04:596 INFO  HomePage :46 - Clicking on Sign Up link : [[ChromeDriver: chrome on WINDOWS (82ab3481e4bcfdc8530c4d06bd56ae0d)] -> xpath: //a[@id='header-sign-up-btn']]
2020-04-27 01:04:701 INFO  HomePage :30 - Entering Full Name : Roger Moore On Full Name Field [[ChromeDriver: chrome on WINDOWS (82ab3481e4bcfdc8530c4d06bd56ae0d)] -> id: user_name]
2020-04-27 01:04:244 INFO  HomePage :39 - Entering Email : Roger123@gmail.com On Email Field [[ChromeDriver: chrome on WINDOWS (82ab3481e4bcfdc8530c4d06bd56ae0d)] -> id: user_email]
2020-04-27 01:04:581 INFO  HomePage :48 - Entering Password : Roger123 On Password Field [[ChromeDriver: chrome on WINDOWS (82ab3481e4bcfdc8530c4d06bd56ae0d)] -> id: user_password]
2020-04-27 01:04:920 INFO  HomePage :57 - Entering Confirm Password : Roger123 On Confirm Password Field [[ChromeDriver: chrome on WINDOWS (82ab3481e4bcfdc8530c4d06bd56ae0d)] -> id: user_password_confirmation]
2020-04-27 01:04:172 INFO  HomePage :66 - Clicking on Agree To Terms : [[ChromeDriver: chrome on WINDOWS (82ab3481e4bcfdc8530c4d06bd56ae0d)] -> id: user_agreed_to_terms]
2020-04-27 01:04:375 INFO  HomePage :75 - Clicking on Agree To Terms : [[ChromeDriver: chrome on WINDOWS (82ab3481e4bcfdc8530c4d06bd56ae0d)] -> xpath: //input[@name='commit']]
2020-04-27 01:04:214 INFO  BrowserSelector :18 - Launching Chrome Browser
2020-04-27 01:04:520 INFO  HomePage :46 - Clicking on Sign Up link : [[ChromeDriver: chrome on WINDOWS (22c03cacac518653af47695c2394d5d6)] -> xpath: //a[@id='header-sign-up-btn']]
2020-04-27 01:04:825 INFO  HomePage :30 - Entering Full Name : Roger Moore On Full Name Field [[ChromeDriver: chrome on WINDOWS (22c03cacac518653af47695c2394d5d6)] -> id: user_name]
2020-04-27 01:04:242 INFO  HomePage :39 - Entering Email : Roger123@gmail.com On Email Field [[ChromeDriver: chrome on WINDOWS (22c03cacac518653af47695c2394d5d6)] -> id: user_email]
2020-04-27 01:04:708 INFO  HomePage :48 - Entering Password : Roger123 On Password Field [[ChromeDriver: chrome on WINDOWS (22c03cacac518653af47695c2394d5d6)] -> id: user_password]
2020-04-27 01:04:05 INFO  HomePage :57 - Entering Confirm Password : Roger123 On Confirm Password Field [[ChromeDriver: chrome on WINDOWS (22c03cacac518653af47695c2394d5d6)] -> id: user_password_confirmation]
